test	A	B	C
965	18790	18808	18818
966	9477	9467	9458
967	12530	12521	12557
968	12437	12428	12418
969	23615	23606	23642
970	34	6	24
971	7847	7866	7856
972	25121	25111	25148
973	21711	21702	21692
974	17671	17662	17698
975	22337	22327	22318
976	324	315	351
977	34	6	24
978	7266	7275	7285
979	13355	13372	13345
980	22444	22462	22472
981	9728	9718	9709
982	7309	7300	7336
983	35	7	25
984	34941	34950	34978
985	1151	1160	1141
986	2964	2945	2954
987	3689	3698	3716
988	6	34	24
989	13800	13809	13818
990	9951	9942	9933
991	3	10535	10507
992	23246	23236	23263
993	31879	31888	31870
994	18888	18878	18915
995	28257	28266	28247
996	6175	6166	6202
997	10883	10892	10873
998	5028	5019	5046
999	16320	16329	16310

