test	A	B	C
413	38	7	22
414	10	29	19
415	20	31	7
416	9	33	23
417	12	31	21
418	21	32	7
419	9	28	18
420	29	10	19
421	30	6	19
422	35	23	8
423	19	28	10
424	22	32	8
425	35	19	6
426	19	1460	9
427	22	9	37
428	23	9	35
429	19	10	29
430	20	6	32
431	9	36	24
432	7	23	34
433	11	36	25
434	28	19	9
435	20	6	31
436	9	23	34
437	7	32	21
438	36	21	8
439	20	10	29
440	22	33	7
441	9	18	28
442	30	21	11
443	39	26	7
444	19	28	10
445	23	34	9
446	31	19	5
447	37	22	9
448	18	35	5
449	6	37	26
450	11	30	20
451	24	40	8
452	10	19	29
453	3713	21	12
454	11	20	30
455	33	6	23
456	20	29	11
457	11	30	20
458	19	8	34
459	11	30	20
460	21	7	33
461	18	9	27
462	12	21	30
463	19	10	28
464	21	12	30
465	10	19	29
466	33	13	22
467	22	38	7
468	459	474	7
469	6	32	20
470	9	18	28
471	9	33	22
472	8	22	36
473	12	31	21
474	9	28	18
475	30	11	20
476	20	34	7
477	34	22	7
478	31	11	21
479	18	6	30
480	33	8	21
481	28	18	9
482	22	7	32
483	11	20	30
484	20	33	6
485	12	21	30
486	21	37	7
487	20	6	31
488	21	12	30
489	22	12	31
490	7	23	35
491	6	20	30
492	39	8	26
493	29	10	19
494	22	34	8
495	38	25	8
496	10	24	34
497	9	37	21
498	10	18	28
499	29	10	19
500	8	27	36
501	18	6	34
502	36	22	8
503	20	30	10
504	9	32	20
505	11	30	20
506	21	35	8
507	8	35	25
508	18	6	32
509	29	20	10
510	12	21	31
511	29	9	19
512	31	19	9
513	29	19	9
514	31	22	12
515	5	31	21
516	23	33	14
517	21	30	12
518	29	18	6
519	34	6	17
520	6	23	33
521	28	9	19
522	20	11	29
523	19	9	30
524	7	22	32
525	20	11	29
526	20	11	29
527	22	8	33
528	30	10	20
529	20	11	29
530	20	11	29
531	29	9	19
532	24	7	35
533	20	11	32
534	7	37	22
535	10	30	43
536	5	20	31
537	19	28	10
538	7	21	33
539	10	24	39
540	30	6	20
541	31	7	21
542	19	10	28
543	28	19	10
544	34	24	8
545	29	10	19
546	31	21	12
547	20	29	11
548	34	7	18
549	20	8	36
550	11	20	454
551	6	28	18
552	12	33	21
553	5	17	27
554	10	29	19
555	6	18	31
556	7	23	34
557	25	41	9
558	39	23	9
559	8	17	27
560	17	8	26
561	7	22	38
562	10	29	19
563	31	21	12
564	9	20	31
565	42	26	10
566	21	6	32
567	32	8	22
568	6	20	32
569	38	7	23
570	31	7	21
571	10	29	19
572	29	20	10
573	6	31	20
574	9	18	28
575	23	38	9
576	21	37	7
577	24	10	40
578	11	20	30
579	1719	7	1730
580	9	22	39
581	30	11	20
582	6	30	17
583	20	36	6
584	37	22	9
585	35	8	23
586	21	12	30
587	18	9	27
588	21	6	34
589	10	29	19
590	5	29	19
591	7	36	20
592	25	9	40
593	21	33	6
594	30	19	9
595	3	31	12
596	8	27	17
597	28	9	18
598	7	31	21
599	8	40	21
600	18	206	8
601	21	30	12
602	19	28	10
603	22	36	7
604	7	18	35
605	22	34	8
606	20	10	29
607	22	33	8
608	12	31	21
609	6	21	33
610	6	22	34
611	8	38	21
612	21	38	9
613	21	30	12
614	22	7	35
615	11	20	29
616	22	7	39
617	29	16	6
618	34	8	19
619	31	21	5
620	7	33	18
621	9	22	35
622	34	5	20
623	31	22	12
624	29	10	19
625	7	22	32
626	20	5	31
627	30	21	11
628	21	7	33
629	9	28	18
630	32	22	13
631	17	31	5
632	30	21	11
633	33	7	21
634	20	11	29
635	8	21	38
636	37	20	7
637	11	20	30
638	6	20	32
639	4	37	21
640	9	28	18
641	36	21	6
642	38	6	22
643	18	29	6
644	38	8	23
645	30	10	20
646	12	21	31
647	41	8	30
648	20	36	8
649	31	12	21
650	9	40	25
651	8	35	23
652	8	33	22
653	30	11	21
654	20	11	29
655	21	11	30
656	31	6	21
657	6	32	20
658	20	29	11
659	9	39	23
660	22	32	9
661	22	31	12
662	12	31	21
663	25	6	38
664	5	19	30
665	36	9	24
666	21	37	6
667	20	30	6
668	30	21	12
669	33	23	7
670	17	6	28
671	540	19	9
672	12	32	21
673	29	19	10
674	29	19	10
675	24	6	39
676	10	19	29
677	7	34	19
678	32	13	22
679	23	8	36
680	9	18	28
681	35	9	22
682	7	21	32
683	19	28	10
684	34	13	22
685	35	21	6
686	38	22	8
687	19	34	8
688	30	20	11
689	30	10	20
690	6	18	30
691	21	30	11
692	12	21	32
693	19	9	28
694	9	28	18
695	31	6	20
696	21	11	30
697	20	29	11
698	18	8	27
699	32	22	8
700	36	9	21
701	35	20	6
702	20	34	6
703	8	24	35
704	34	22	13
705	10	19	29
706	29	10	19
707	20	35	7
708	20	31	11
709	22	31	12
710	7	33	21
711	22	31	13
712	37	7	22
713	21	12	30
714	32	6	21
715	20	6	36
716	18	9	27
717	20	11	29
718	37	27	17
719	23	7	33
720	19	10	28
721	31	20	6
722	29	10	19
723	12	31	21
724	33	21	12
725	5	31	18
726	10	19	40
727	33	9	23
728	20	34	7
729	29	10	19
730	36	10	25
731	19	32	6
732	22	36	9
733	9	18	28
734	21	7	38
735	12	21	31
736	37	7	21
737	22	13	31
738	30	21	11
739	8	34	24
740	7	33	21
741	23	43	8
742	10	29	19
743	7	22	38
744	30	20	11
745	40	23	8
746	12	32	21
747	21	30	12
748	25	40	9
749	34	23	6
750	37	7	21
751	30	18	7
752	21	34	7
753	29	20	10
754	33	7	23
755	6	20	37
756	21	38	7
757	8	21	37
758	32	20	6
759	30	21	12
760	29	9	19
761	11	30	20
762	11	20	31
763	39	9	22
764	37	22	7
765	12	31	21
766	7	22	39
767	29	6	17
768	47	36	8
769	9	24	34
770	24	7	34
771	30	10	20
772	31	20	11
773	21	7	33
774	22	6	33
775	25	9	36
776	10	19	29
777	11	20	29
778	9	36	22
779	31	8	19
780	28	19	10
781	9	28	18
782	10	29	19
783	30	20	11
784	30	11	20
785	23	36	8
786	21	30	12
787	38	24	8
788	29	20	10
789	20	33	7
790	7	36	20
791	21	12	30
792	32	8	22
793	38	6	23
794	6	29	19
795	30	20	11
796	36	8	20
797	24	35	9
798	32	22	7
799	30	21	12
800	18	9	27
801	12	21	30
802	5	19	34
803	22	32	8
804	9	18	28
805	4	3233	3244
806	19	31	6
807	10	29	19
808	20	29	10
809	19	9	28
810	19	10	28
811	9	17	27
812	9	18	411
813	21	36	6
814	11	30	20
815	22	12	31
816	18	9	27
817	10	19	29
818	13	21	31
819	19	10	28
820	18	9	27
821	30	10	19
822	10	19	29
823	32	7	20
824	23	33	9
825	20	2050	11
826	32	12	22
827	35	5	19
828	30	20	11
829	29	20	10
830	33	6	20
831	37	22	7
832	6	25	39
833	41	24	10
834	22	39	8
835	28	9	18
836	21	36	7
837	21	36	8
838	12	31	21
839	29	9	19
840	5	33	20
841	31	21	7
842	8	21	33
843	8	24	34
844	21	12	30
845	7	31	21
846	20	5	31
847	8	33	23
848	24	8	36
849	24	40	8
850	10	29	19
851	22	32	6
852	10	29	19
853	9	20	36
854	6	19	32
855	11	30	20
856	10	29	19
857	6	21	34
858	29	20	10
859	29	10	20
860	36	22	6
861	40	25	7
862	21	30	12
863	20	29	10
864	8	1643	17
865	19	36	6
866	11	30	20
867	6	33	20
868	6	19	34
869	23	9	38
870	19	28	9
871	11	30	20
872	21	30	12
873	11	30	20
874	19	31	10
875	12	30	21
876	7	22	34
877	30	11	20
878	10	19	29
879	31	22	12
880	8	23	36
881	28	19	10
882	31	11	20
883	19	30	6
884	5	23	36
885	30	9	18
886	5	19	31
887	21	11	30
888	21	30	12
889	36	22	6
890	20	6	35
891	7	37	25
892	23	10	36
893	10	19	29
894	36	20	6
895	33	7	22
896	19	36	5
897	31	19	10
898	11	20	30
899	36	8	23
900	12	21	30
901	9	23	40
902	31	11	21
903	20	31	7
904	21	37	8
905	31	11	21
906	31	12	21
907	21	11	30
908	36	19	8
909	23	39	8
910	40	23	9
911	8	38	22
912	6	36	20
913	39	23	8
914	31	6	17
915	7	24	40
916	21	6	36
917	34	9	22
918	7	20	34
919	20	6	37
920	7	36	23
921	32	6	20
922	6	35	21
923	31	5	19
924	19	10	28
925	9	35	24
926	12	31	21
927	5	30	18
928	10	19	29
929	21	11	32
930	11	20	38
931	41	24	8
932	29	10	19
933	6	33	17
934	18	27	9
935	36	21	7
936	30	21	11
937	30	20	6
938	18	5	34
939	21	30	12
940	22	33	13
941	29	10	19
942	12	31	21
943	20	6	37
944	9	22	37
945	29	9	19
946	7	20	33
947	20	30	6
948	8	23	35
949	11	20	29
950	35	8	25
951	20	10	29
952	10	18	30
953	39	9	22
954	20	6	31
955	22	32	9
956	7	22	34
957	7	19	31
958	10	19	29
959	21	30	12
960	34	25	7
961	29	9	19
962	5	30	16
963	29	20	11
964	9	18	28
965	10	31	19
966	21	7	32
967	10	19	29
968	5	22	35
969	18	9	27
970	22	35	8
971	31	22	12
972	19	10	28
973	24	10	36
974	11	30	20
975	24	33	9
976	23	8	37
977	36	7	21
978	41	25	9
979	3	12	22
980	30	20	6
981	35	9	23
982	37	8	24
983	38	23	8
984	7	21	33
985	9	21	33
986	9	23	39
987	29	20	10
988	39	23	7
989	33	19	4
990	19	28	10
991	19	28	10
992	33	23	9
993	23	10	40
994	31	12	21
995	20	11	29
996	18	9	27
997	42	8	25
998	36	9	22
999	18	6	35

